FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970501;0000;2,34666;;;
970601;0000;2,73728;;;
970701;0000;2,81091;;;
970801;0000;2,16187;;;
970901;0000;1,096;;;
971001;0000;0,63833;;;
971101;0000;0,581835;;;
971201;0000;0,606854;;;
980101;0000;0,593559;;;
980201;0000;0,487169;;;
980301;0000;1,3625;;;
980401;0000;1,46528;;;
980501;0000;2,07876;;;
980601;0000;2,56389;;;
980701;0000;2,21904;;;
980801;0000;1,71415;;;
980901;0000;1,07015;;;
981001;0000;0,741777;;;
981101;0000;0,48275;;;
981201;0000;0,594559;;;
990101;0000;0,483064;;;
990201;0000;0,565922;;;
990301;0000;1,02558;;;
990401;0000;1,48554;;;
990501;0000;1,59531;;;
990601;0000;2,42912;;;
990701;0000;2,52714;;;
990801;0000;1,95847;;;
990901;0000;1,41762;;;
991001;0000;0,912095;;;
991101;0000;0,616527;;;
991201;0000;0,631585;;;
000101;0000;0,476773;;;
000201;0000;0,364224;;;
000301;0000;0,641666;;;
000401;0000;1,18856;;;
000501;0000;2,14716;;;
000601;0000;2,13722;;;
000701;0000;2,44946;;;
000801;0000;1,86693;;;
000901;0000;1,20993;;;
001001;0000;0,767606;;;
001101;0000;0,591805;;;
001201;0000;0,553494;;;
010101;0000;0,46344;;;
010201;0000;0,5061;;;
010301;0000;0,833749;;;
010401;0000;1,1018;;;
010501;0000;1,97567;;;
010601;0000;2,46031;;;
010701;0000;2,00295;;;
010801;0000;1,49986;;;
010901;0000;0,999098;;;
011001;0000;0,737633;;;
011101;0000;0,474999;;;
011201;0000;0,469085;;;
020101;0000;0,509945;;;
020201;0000;0,525892;;;
020301;0000;0,83145;;;
020401;0000;1,24417;;;
020501;0000;1,74392;;;
020601;0000;2,3775;;;
020701;0000;1,99913;;;
020801;0000;1,81478;;;
020901;0000;1,0435;;;
021001;0000;0,630908;;;
021101;0000;0,422638;;;
021201;0000;0,440591;;;
030101;0000;0,420822;;;
030201;0000;0,398065;;;
030301;0000;0,844512;;;
030401;0000;1,43029;;;
