FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;34,5;
031215;1200;30,4167;
031215;1300;25,75;
031215;1400;20,0833;
031215;1500;15;
031215;1600;18,25;
031215;1700;22,75;
031215;1800;25,3333;
031215;1900;26,8333;
031215;2000;29,75;
031215;2100;31;
031215;2200;35,1666;
031215;2300;44,3333;
031216;0000;50,3333;
031216;0100;54,5;
031216;0200;55,6666;
031216;0300;56,6666;
031216;0400;61,4166;
031216;0500;61,9166;
031216;0600;52,4166;
031216;0700;34,75;
031216;0800;28;
031216;0900;23,8333;
031216;1000;20,1667;
031216;1100;14,9167;
031216;1200;11,75;
031216;1300;10,75;
031216;1400;10,5;
031216;1500;9,58333;
031216;1600;8,66666;
031216;1700;8,5;
031216;1800;11,4167;
031216;1900;13,5833;
031216;2000;17;
031216;2100;22,9167;
031216;2200;30,8333;
031216;2300;32,0833;
031217;0000;35,5;
031217;0100;37,5833;
031217;0200;40;
031217;0300;39,8333;
031217;0400;44,25;
031217;0500;45,6666;
031217;0600;42,1666;
031217;0700;30,25;
031217;0800;23,5833;
031217;0900;19,25;
031217;1000;16,0833;
031217;1100;14,3333;
031217;1200;14,8333;
031217;1300;13,75;
031217;1400;13,5833;
031217;1500;16,25;
031217;1600;17,5833;
031217;1700;21,5;
031217;1800;23,9167;
031217;1900;28,5833;
031217;2000;36,6666;
031217;2100;41,4166;
031217;2200;46,5;
031217;2300;50,1666;
031218;0000;52,5;
031218;0100;55,25;
031218;0200;57,5833;
031218;0300;60,75;
031218;0400;64,1664;
031218;0500;65,4164;
031218;0600;59,3333;
031218;0700;50,5833;
031218;0800;45,1666;
031218;0900;37,75;
031218;1000;33,9166;
031218;1100;28,9167;
031218;1200;29,6667;
031218;1300;31,0833;
031218;1400;32,6666;
031218;1500;33,5;
031218;1600;35,1666;
031218;1700;36,6666;
031218;1800;39,8333;
031218;1900;42,5833;
031218;2000;48,25;
031218;2100;53,75;
031218;2200;58,1666;
031218;2300;60,6666;
031219;0000;64,8333;
031219;0100;70,3333;
031219;0200;74,4164;
031219;0300;72,8333;
031219;0400;75,5833;
031219;0500;77,6664;
031219;0600;70,5;
031219;0700;61,1666;
031219;0800;52,75;
031219;0900;46,5;
031219;1000;40,4166;
031219;1100;40,4166;
031219;1200;39,75;
031219;1300;37,1666;
031219;1400;34,6666;
031219;1500;31,5;
031219;1600;32,8333;
031219;1700;36,5833;
031219;1800;40,3333;
031219;1900;45,75;
031219;2000;50,5833;
031219;2100;53,6666;
031219;2200;56,9166;
031219;2300;58,8333;
031220;0000;63;
031220;0100;66,0833;
031220;0200;68,1664;
031220;0300;70,1664;
031220;0400;73,6664;
031220;0500;74,6664;
031220;0600;67,9164;
031220;0700;51,1666;
031220;0800;45,4166;
031220;0900;41,25;
031220;1000;37,5;
031220;1100;33;
031220;1200;28,8333;
031220;1300;27,9167;
031220;1400;26,75;
031220;1500;26,1667;
031220;1600;27,9167;
031220;1700;29,8333;
031220;1800;31,5;
031220;1900;38,1666;
031220;2000;39,6666;
031220;2100;37,6666;
031220;2200;33,3333;
031220;2300;33,5833;
031221;0000;36,75;
031221;0100;50;
031221;0200;64,5;
031221;0300;67,3333;
031221;0400;69,5833;
031221;0500;77,25;
031221;0600;73,3333;
031221;0700;66,0833;
031221;0800;59,25;
031221;0900;47,9166;
031221;1000;40,8333;
031221;1100;38,4166;
031221;1200;36,0833;
031221;1300;32,5;
031221;1400;27,4167;
031221;1500;22,3333;
031221;1600;23,4167;
031221;1700;22,8333;
031221;1800;28,1667;
031221;1900;32,8333;
031221;2000;37,1666;
031221;2100;43,3333;
031221;2200;45,6666;
031221;2300;49,1666;
031222;0000;48,5833;
031222;0100;55,25;
031222;0200;56,3333;
031222;0300;56;
031222;0400;62,5;
031222;0500;65,25;
031222;0600;57;
031222;0700;43,6666;
031222;0800;40;
031222;0900;36,3333;
031222;1000;31;
031222;1100;27,3333;
031222;1200;24,6667;
031222;1300;22,25;
031222;1400;18,4167;
031222;1500;17,5;
031222;1600;18,75;
031222;1700;19,9167;
031222;1800;23,75;
031222;1900;26,6667;
031222;2000;32,1666;
031222;2100;35,3333;
031222;2200;36,4;
031222;2300;38,0833;
031223;0000;41,8333;
031223;0100;44,8333;
031223;0200;52,8333;
031223;0300;57,3333;
031223;0400;59,5833;
031223;0500;59,8333;
031223;0600;56,0833;
031223;0700;40,3333;
031223;0800;36,0833;
031223;0900;31,8333;
031223;1000;27,6667;
031223;1100;24,8333;
031223;1200;24,9167;
031223;1300;24,9167;
031223;1400;23,4167;
031223;1500;24;
031223;1600;20,9167;
031223;1700;22,8333;
031223;1800;26,8333;
031223;1900;30,5;
031223;2000;34,6666;
031223;2100;40,0833;
031223;2200;42,5833;
031223;2300;45,6666;
031224;0000;52,3333;
031224;0100;53,3333;
031224;0200;54,8333;
031224;0300;60,3333;
031224;0400;63,5833;
031224;0500;65,4164;
031224;0600;59,4166;
031224;0700;46,0833;
031224;0800;39,6666;
031224;0900;36;
031224;1000;34,25;
031224;1100;30,9167;
031224;1200;27,0833;
031224;1300;28,5;
031224;1400;29,1667;
031224;1500;28,6667;
031224;1600;27,5;
031224;1700;31,75;
031224;1800;35,5833;
031224;1900;40,1666;
031224;2000;47,8333;
031224;2100;52;
031224;2200;54;
031224;2300;58,75;
031225;0000;61,1666;
031225;0100;64,75;
031225;0200;71;
031225;0300;73,8333;
031225;0400;75,5;
031225;0500;77,4164;
031225;0600;72,25;
031225;0700;64,6664;
031225;0800;55,3333;
031225;0900;46,0833;
031225;1000;39,5833;
031225;1100;35;
031225;1200;32,5;
031225;1300;30,75;
031225;1400;25,6667;
031225;1500;23,25;
031225;1600;23,6667;
031225;1700;31,5;
031225;1800;34,4166;
031225;1900;43,6666;
031225;2000;46,75;
031225;2100;47,0833;
031225;2200;48,3333;
031225;2300;52,25;
031226;0000;57,1666;
031226;0100;60,4166;
031226;0200;63,8333;
031226;0300;66,9164;
031226;0400;73,75;
031226;0500;74,25;
031226;0600;69,25;
031226;0700;60,3333;
031226;0800;52,75;
031226;0900;44;
031226;1000;38,4166;
031226;1100;36,9166;
031226;1200;34,1666;
031226;1300;33,6666;
031226;1400;31,4167;
031226;1500;27;
031226;1600;23,8333;
031226;1700;28,0833;
031226;1800;36,5;
031226;1900;41,5833;
031226;2000;48,25;
031226;2100;52,75;
031226;2200;55;
031226;2300;56,1818;
031227;0000;57,1666;
031227;0100;58,9166;
031227;0200;;
031227;0300;62,75;
031227;0400;63,3333;
031227;0500;66,5833;
031227;0600;63,9166;
031227;0700;58,5;
031227;0800;54,1666;
031227;0900;49,0833;
031227;1000;45,8333;
031227;1100;43,6666;
031227;1200;40,3333;
031227;1300;37,5;
031227;1400;32,3333;
031227;1500;22,6667;
031227;1600;22,75;
031227;1700;24,1667;
031227;1800;26,6667;
031227;1900;30,0833;
031227;2000;31,75;
031227;2100;30,9167;
031227;2200;34,5833;
031227;2300;35,75;
031228;0000;36,9166;
031228;0100;40,5833;
031228;0200;43,6666;
031228;0300;51;
031228;0400;58,3333;
031228;0500;62,1666;
031228;0600;54,4166;
031228;0700;37,1666;
031228;0800;33;
031228;0900;28,6667;
031228;1000;25,0833;
031228;1100;20,75;
031228;1200;19,4167;
031228;1300;16,0833;
031228;1400;16,8333;
031228;1500;14,9167;
031228;1600;13;
031228;1700;12,6364;
031228;1800;16,5;
031228;1900;23,5833;
031228;2000;30,8333;
031228;2100;36,0833;
031228;2200;40,1666;
031228;2300;42,8333;
031229;0000;47,4166;
031229;0100;49;
031229;0200;51,5;
031229;0300;54,9166;
031229;0400;57,6666;
031229;0500;60,75;
031229;0600;55,6666;
031229;0700;44,0833;
031229;0800;39,9166;
031229;0900;34,8333;
