FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;24,6416;
031215;1200;25,3916;
031215;1300;26,2;
031215;1400;26,8916;
031215;1500;27,3583;
031215;1600;27,4333;
031215;1700;26,875;
031215;1800;25,85;
031215;1900;23,7083;
031215;2000;21,3666;
031215;2100;20,1166;
031215;2200;18,7583;
031215;2300;17,6;
031216;0000;16,425;
031216;0100;15,4917;
031216;0200;14,6917;
031216;0300;14,0166;
031216;0400;13,125;
031216;0500;12,7;
031216;0600;14,7;
031216;0700;19,3916;
031216;0800;21,8;
031216;0900;24,525;
031216;1000;26,7917;
031216;1100;29,3;
031216;1200;30,775;
031216;1300;31,65;
031216;1400;32,2166;
031216;1500;32,775;
031216;1600;32,4416;
031216;1700;32,2583;
031216;1800;31,15;
031216;1900;29,0417;
031216;2000;26,45;
031216;2100;24,3833;
031216;2200;22,1583;
031216;2300;21,025;
031217;0000;19,25;
031217;0100;18,225;
031217;0200;17,25;
031217;0300;16,7;
031217;0400;15,85;
031217;0500;15,5083;
031217;0600;17,1083;
031217;0700;23,225;
031217;0800;26,2833;
031217;0900;28,1;
031217;1000;30,3083;
031217;1100;31,7416;
031217;1200;32,8416;
031217;1300;33,5583;
031217;1400;33,5333;
031217;1500;32,9583;
031217;1600;31,725;
031217;1700;30,225;
031217;1800;28,8333;
031217;1900;25,825;
031217;2000;22,85;
031217;2100;21,1083;
031217;2200;19,8416;
031217;2300;18,9666;
031218;0000;18,4417;
031218;0100;17,675;
031218;0200;17,0333;
031218;0300;16,4166;
031218;0400;15,8916;
031218;0500;15,2666;
031218;0600;16,7166;
031218;0700;19,5166;
031218;0800;21,3;
031218;0900;24,25;
031218;1000;26,2583;
031218;1100;28,4833;
031218;1200;29,7083;
031218;1300;29,7917;
031218;1400;29,5083;
031218;1500;29,4666;
031218;1600;28,775;
031218;1700;27,9083;
031218;1800;25,9583;
031218;1900;23,675;
031218;2000;21,8167;
031218;2100;20,575;
031218;2200;19,5083;
031218;2300;19,1583;
031219;0000;18,4333;
031219;0100;17,25;
031219;0200;16,55;
031219;0300;16,4;
031219;0400;15,9;
031219;0500;15,525;
031219;0600;16,9916;
031219;0700;19,2583;
031219;0800;21,7229;
031219;0900;23,75;
031219;1000;26,0833;
031219;1100;27,3083;
031219;1200;28,0417;
031219;1300;28,95;
031219;1400;29,7666;
031219;1500;30,3167;
031219;1600;30,3;
031219;1700;29,1333;
031219;1800;27,1917;
031219;1900;24,4916;
031219;2000;22,875;
031219;2100;22,0833;
031219;2200;21,2166;
031219;2300;20,7166;
031220;0000;20,05;
031220;0100;19,3583;
031220;0200;18,7833;
031220;0300;18,225;
031220;0400;17,4417;
031220;0500;17,0333;
031220;0600;18,3666;
031220;0700;22,1583;
031220;0800;23,9083;
031220;0900;25,7666;
031220;1000;27,2833;
031220;1100;29,025;
031220;1200;30,6166;
031220;1300;31,425;
031220;1400;31,7917;
031220;1500;31,7166;
031220;1600;30,375;
031220;1700;27,5417;
031220;1800;25,1416;
031220;1900;22,9583;
031220;2000;20,9333;
031220;2100;20,1166;
031220;2200;19,875;
031220;2300;18,8083;
031221;0000;18,0667;
031221;0100;16,4;
031221;0200;14,8583;
031221;0300;14,3167;
031221;0400;13,6833;
031221;0500;12,8667;
031221;0600;13,65;
031221;0700;15,45;
031221;0800;17;
031221;0900;19,55;
031221;1000;21,3333;
031221;1100;22,875;
031221;1200;23,8083;
031221;1300;25,075;
031221;1400;25,975;
031221;1500;26,6166;
031221;1600;27,1666;
031221;1700;27,1416;
031221;1800;26,3333;
031221;1900;24,675;
031221;2000;22,6666;
031221;2100;21,0333;
031221;2200;20,225;
031221;2300;19,1166;
031222;0000;18,25;
031222;0100;17,0916;
031222;0200;16,3333;
031222;0300;15,775;
031222;0400;14,7333;
031222;0500;13,9417;
031222;0600;15,4917;
031222;0700;18,575;
031222;0800;20,275;
031222;0900;22,275;
031222;1000;24,625;
031222;1100;26,45;
031222;1200;28,2333;
031222;1300;29,125;
031222;1400;30,5333;
031222;1500;31,0083;
031222;1600;31,1333;
031222;1700;30,5583;
031222;1800;28,8916;
031222;1900;26,275;
031222;2000;22,9833;
031222;2100;21,3083;
031222;2200;20,2166;
031222;2300;19,3916;
031223;0000;18,5667;
031223;0100;18,0166;
031223;0200;16,9833;
031223;0300;16,0166;
031223;0400;15,4;
031223;0500;15,0166;
031223;0600;16,1667;
031223;0700;20,3083;
031223;0800;22,2583;
031223;0900;24,35;
031223;1000;26,4666;
031223;1100;28,4166;
031223;1200;29,4166;
031223;1300;29,45;
031223;1400;29,9916;
031223;1500;29,5667;
031223;1600;28,925;
031223;1700;27,7083;
031223;1800;25,9417;
031223;1900;23,5417;
031223;2000;21,5;
031223;2100;19,9083;
031223;2200;18,7416;
031223;2300;17,975;
031224;0000;17,15;
031224;0100;16,3167;
031224;0200;15,8333;
031224;0300;15,0833;
031224;0400;14,475;
031224;0500;13,9167;
031224;0600;15,1583;
031224;0700;19,0083;
031224;0800;21,1083;
031224;0900;22,7333;
031224;1000;24,8833;
031224;1100;26,4916;
031224;1200;27,8;
031224;1300;28,175;
031224;1400;28,4833;
031224;1500;28,4167;
031224;1600;28,175;
031224;1700;27,475;
031224;1800;25,7;
031224;1900;23,375;
031224;2000;21,0833;
031224;2100;19,9083;
031224;2200;19,3416;
031224;2300;18,3333;
031225;0000;17,5;
031225;0100;16,7;
031225;0200;15,875;
031225;0300;15,0667;
031225;0400;14,5333;
031225;0500;14,1667;
031225;0600;15,3667;
031225;0700;17,4083;
031225;0800;20,1083;
031225;0900;23,0333;
031225;1000;25,2583;
031225;1100;27,3666;
031225;1200;29,1833;
031225;1300;29,8916;
031225;1400;30,4;
031225;1500;30,3416;
031225;1600;30,025;
031225;1700;28,3833;
031225;1800;26,6;
031225;1900;23,1333;
031225;2000;21,0416;
031225;2100;20,275;
031225;2200;19,5;
031225;2300;18,3833;
031226;0000;17,3083;
031226;0100;16,7916;
031226;0200;16,1667;
031226;0300;15,525;
031226;0400;14,5917;
031226;0500;14,5917;
031226;0600;15,7666;
031226;0700;17,9;
031226;0800;19,4666;
031226;0900;21,5083;
031226;1000;23,5166;
031226;1100;24,875;
031226;1200;25,8083;
031226;1300;26,6333;
031226;1400;27,375;
031226;1500;27,7333;
031226;1600;27,7833;
031226;1700;26,5833;
031226;1800;24,6833;
031226;1900;22,3583;
031226;2000;19,8167;
031226;2100;17,9417;
031226;2200;16,7833;
031226;2300;15,8916;
031227;0000;15,25;
031227;0100;14,85;
031227;0200;14,3917;
031227;0300;13,8;
031227;0400;12,9583;
031227;0500;12,5417;
031227;0600;12,85;
031227;0700;14,1833;
031227;0800;16,0667;
031227;0900;18,2416;
031227;1000;19,9;
031227;1100;21,225;
031227;1200;22,7;
031227;1300;23,7083;
031227;1400;25,075;
031227;1500;26,4166;
031227;1600;26,4666;
031227;1700;25,9166;
031227;1800;25,275;
031227;1900;23,2166;
031227;2000;20,6333;
031227;2100;19,275;
031227;2200;18,3167;
031227;2300;17,35;
031228;0000;16,425;
031228;0100;15,325;
031228;0200;14,3833;
031228;0300;13,075;
031228;0400;12,5;
031228;0500;11,775;
031228;0600;13,3083;
031228;0700;17,6917;
031228;0800;19,35;
031228;0900;21,6917;
031228;1000;24,2833;
031228;1100;26,4916;
031228;1200;27,7583;
031228;1300;28,8916;
031228;1400;29,925;
031228;1500;30,7083;
031228;1600;30,95;
031228;1700;30,7;
031228;1800;29,4583;
031228;1900;26,675;
031228;2000;23,3167;
031228;2100;21,5083;
031228;2200;20,1416;
031228;2300;19,125;
031229;0000;17,9833;
031229;0100;17,1;
031229;0200;16,475;
031229;0300;15,8167;
031229;0400;14,8417;
031229;0500;14,3667;
