FECHA (YYMMDD);HORA (HHMM);;
031215;0100;;
031215;0200;;
031215;0300;;
031215;0400;;
031215;0500;;
031215;0600;;
031215;0700;;
031215;0800;;
031215;0900;;
031215;1000;;
031215;1100;1,01199;
031215;1200;1,53999;
031215;1300;1,64203;
031215;1400;1,57146;
031215;1500;1,53933;
031215;1600;1,23659;
031215;1700;1,54781;
031215;1800;1,49584;
031215;1900;1,11456;
031215;2000;0,404905;
031215;2100;0,428461;
031215;2200;0,413164;
031215;2300;0,735409;
031216;0000;0,550879;
031216;0100;0,620378;
031216;0200;0,873418;
031216;0300;0,778502;
031216;0400;0,414895;
031216;0500;0,493201;
031216;0600;0,666862;
031216;0700;0,123801;
031216;0800;0,289849;
031216;0900;0,555592;
031216;1000;0,604621;
031216;1100;0,716;
031216;1200;1,1969;
031216;1300;1,38589;
031216;1400;1,56742;
031216;1500;1,62044;
031216;1600;1,62943;
031216;1700;1,54884;
031216;1800;1,2762;
031216;1900;0,401948;
031216;2000;0,65799;
031216;2100;0,665627;
031216;2200;0,550573;
031216;2300;1,06335;
031217;0000;0,76191;
031217;0100;0,955132;
031217;0200;0,637197;
031217;0300;0,829803;
031217;0400;0,629714;
031217;0500;0,773688;
031217;0600;0,790359;
031217;0700;0,331704;
031217;0800;0,468255;
031217;0900;1,09824;
031217;1000;1,05828;
031217;1100;1,42939;
031217;1200;1,6608;
031217;1300;1,55842;
031217;1400;1,81685;
031217;1500;2,41091;
031217;1600;2,05586;
031217;1700;1,97446;
031217;1800;1,19427;
031217;1900;0,729218;
031217;2000;0,629025;
031217;2100;0,933396;
031217;2200;0,629123;
031217;2300;0,651825;
031218;0000;0,37126;
031218;0100;0,506577;
031218;0200;0,621695;
031218;0300;0,484016;
031218;0400;0,390886;
031218;0500;0,564054;
031218;0600;0,487022;
031218;0700;0,685822;
031218;0800;0,903416;
031218;0900;0,592214;
031218;1000;1,26421;
031218;1100;1,38974;
031218;1200;1,53168;
031218;1300;1,53837;
031218;1400;1,4082;
031218;1500;1,4563;
031218;1600;1,23249;
031218;1700;1,65181;
031218;1800;1,74553;
031218;1900;1,09616;
031218;2000;0,495851;
031218;2100;0,433302;
031218;2200;0,301214;
031218;2300;0,291163;
031219;0000;0,498;
031219;0100;0,566519;
031219;0200;0,342767;
031219;0300;0,580256;
031219;0400;0,415111;
031219;0500;0,410025;
031219;0600;0,482437;
031219;0700;1,06527;
031219;0800;0,740972;
031219;0900;0,987189;
031219;1000;1,15899;
031219;1100;1,30798;
031219;1200;1,30443;
031219;1300;1,49453;
031219;1400;1,55832;
031219;1500;1,32668;
031219;1600;1,3141;
031219;1700;1,60043;
031219;1800;2,08122;
031219;1900;1,57087;
031219;2000;0,619524;
031219;2100;0,585083;
031219;2200;0,103485;
031219;2300;1,07714;
031220;0000;0,33228;
031220;0100;0,520528;
031220;0200;0,530964;
031220;0300;0,501475;
031220;0400;0,507724;
031220;0500;0,387643;
031220;0600;0,834744;
031220;0700;0,217103;
031220;0800;0,419222;
031220;0900;1,13412;
031220;1000;1,08605;
031220;1100;1,27289;
031220;1200;1,19828;
031220;1300;1,30758;
031220;1400;1,5321;
031220;1500;1,62918;
031220;1600;2,8841;
031220;1700;2,81863;
031220;1800;2,44366;
031220;1900;1,24291;
031220;2000;0,772329;
031220;2100;0,508054;
031220;2200;0,472383;
031220;2300;0,151149;
031221;0000;0,403884;
031221;0100;0,525569;
031221;0200;0,452958;
031221;0300;0,32361;
031221;0400;0,534753;
031221;0500;0,435057;
031221;0600;1,17442;
031221;0700;0,944633;
031221;0800;1,08153;
031221;0900;1,6901;
031221;1000;1,57389;
031221;1100;1,43921;
031221;1200;1,48368;
031221;1300;1,50101;
031221;1400;1,50634;
031221;1500;1,3703;
031221;1600;1,26439;
031221;1700;1,31837;
031221;1800;1,37112;
031221;1900;0,98525;
031221;2000;0,70469;
031221;2100;0,66039;
031221;2200;0,614058;
031221;2300;1,27076;
031222;0000;0,784484;
031222;0100;1,0461;
031222;0200;0,714407;
031222;0300;0,717047;
031222;0400;0,309499;
031222;0500;0,729147;
031222;0600;0,519145;
031222;0700;0,237872;
031222;0800;0,496049;
031222;0900;0,983974;
031222;1000;0,866769;
031222;1100;1,13767;
031222;1200;1,29969;
031222;1300;1,3695;
031222;1400;1,22939;
031222;1500;1,21453;
031222;1600;1,4978;
031222;1700;1,74573;
031222;1800;1,3366;
031222;1900;0,915994;
031222;2000;1,11847;
031222;2100;0,584033;
031222;2200;1,21571;
031222;2300;1,21026;
031223;0000;0,49715;
031223;0100;0,52492;
031223;0200;0,887547;
031223;0300;0,604928;
031223;0400;0,922523;
031223;0500;0,893312;
031223;0600;0,744061;
031223;0700;0,497113;
031223;0800;0,734691;
031223;0900;0,879242;
031223;1000;0,903955;
031223;1100;1,24847;
031223;1200;1,33983;
031223;1300;1,7157;
031223;1400;1,73798;
031223;1500;2,51975;
031223;1600;2,57526;
031223;1700;2,48298;
031223;1800;2,27757;
031223;1900;1,78707;
031223;2000;0,733188;
031223;2100;0,542864;
031223;2200;0,422219;
031223;2300;0,639713;
031224;0000;0,515738;
031224;0100;0,617887;
031224;0200;0,536871;
031224;0300;0,415808;
031224;0400;0,329457;
031224;0500;0,423196;
031224;0600;0,61226;
031224;0700;0,107206;
031224;0800;0,507277;
031224;0900;1,1986;
031224;1000;1,24899;
031224;1100;1,37868;
031224;1200;1,53016;
031224;1300;1,71721;
031224;1400;1,67165;
031224;1500;1,88504;
031224;1600;1,6828;
031224;1700;1,4945;
031224;1800;1,0036;
031224;1900;0,664265;
031224;2000;0,7988;
031224;2100;0,571034;
031224;2200;0,492818;
031224;2300;0,519877;
031225;0000;1,07846;
031225;0100;0,629584;
031225;0200;0,287277;
031225;0300;0,817982;
031225;0400;0,607222;
031225;0500;0,359195;
031225;0600;0,442974;
031225;0700;1,04361;
031225;0800;0,924067;
031225;0900;0,579329;
031225;1000;0,758141;
031225;1100;1,01901;
031225;1200;1,29984;
031225;1300;1,39993;
031225;1400;1,35831;
031225;1500;1,68647;
031225;1600;1,6997;
031225;1700;2,69609;
031225;1800;2,29412;
031225;1900;2,1831;
031225;2000;0,912225;
031225;2100;0,635196;
031225;2200;0,463695;
031225;2300;0,384494;
031226;0000;0,570642;
031226;0100;0,33554;
031226;0200;0,402251;
031226;0300;0,622041;
031226;0400;0,376101;
031226;0500;1,15637;
031226;0600;0,42681;
031226;0700;0,453376;
031226;0800;0,898051;
031226;0900;1,1112;
031226;1000;0,73805;
031226;1100;1,11703;
031226;1200;1,66427;
031226;1300;1,49231;
031226;1400;1,49587;
031226;1500;1,47986;
031226;1600;1,81718;
031226;1700;2,24576;
031226;1800;2,45639;
031226;1900;2,02224;
031226;2000;1,94032;
031226;2100;1,61552;
031226;2200;0,879885;
031226;2300;0,980227;
031227;0000;0,950329;
031227;0100;1,30564;
031227;0200;1,77135;
031227;0300;1,91425;
031227;0400;1,41706;
031227;0500;1,23317;
031227;0600;1,40698;
031227;0700;1,6096;
031227;0800;1,27283;
031227;0900;1,50438;
031227;1000;0,83278;
031227;1100;1,78383;
031227;1200;1,38188;
031227;1300;1,34377;
031227;1400;1,45117;
031227;1500;1,21011;
031227;1600;1,44698;
031227;1700;1,60798;
031227;1800;1,46851;
031227;1900;1,16231;
031227;2000;0,738492;
031227;2100;0,544044;
031227;2200;0,801473;
031227;2300;0,837021;
031228;0000;0,75978;
031228;0100;0,701389;
031228;0200;0,276249;
031228;0300;0,436333;
031228;0400;0,583879;
031228;0500;0,237856;
031228;0600;0,425254;
031228;0700;0,0593461;
031228;0800;0,55011;
031228;0900;0,976562;
031228;1000;0,638309;
031228;1100;1,05717;
031228;1200;1,29436;
031228;1300;1,22411;
031228;1400;1,33854;
031228;1500;1,51165;
031228;1600;1,26181;
031228;1700;1,17447;
031228;1800;1,10979;
031228;1900;0,99564;
