FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970501;0000;148,645;;;
970601;0000;103,094;;;
970701;0000;148,831;;;
970801;0000;124,563;;;
970901;0000;78,2046;;;
971001;0000;53,8051;;;
971101;0000;64,9974;;;
971201;0000;65,7642;;;
980101;0000;79,0101;;;
980201;0000;71,8347;;;
980301;0000;106,07;;;
980401;0000;98,0584;;;
980501;0000;127,445;;;
980601;0000;124,805;;;
980701;0000;138,832;;;
980801;0000;114,727;;;
980901;0000;95,8305;;;
981001;0000;80,7809;;;
981101;0000;69,2178;;;
981201;0000;72,4228;;;
990101;0000;68,6192;;;
990201;0000;77,0041;;;
990301;0000;70,8537;;;
990401;0000;93,6924;;;
990501;0000;113,375;;;
990601;0000;110,332;;;
990701;0000;109,715;;;
990801;0000;81,5538;;;
990901;0000;69,6781;;;
991001;0000;54,6533;;;
991101;0000;51,2112;;;
991201;0000;57,3543;;;
000101;0000;57,5122;;;
000201;0000;48,649;;;
000301;0000;81,1253;;;
000401;0000;93,37;;;
000501;0000;112,524;;;
000601;0000;85,3695;;;
000701;0000;120,131;;;
000801;0000;92,5972;;;
000901;0000;66,1902;;;
001001;0000;54,9456;;;
001101;0000;51,2791;;;
001201;0000;54,6895;;;
010101;0000;54,586;;;
010201;0000;68,5516;;;
010301;0000;78,1428;;;
010401;0000;77,4281;;;
010501;0000;96,5723;;;
010601;0000;111,242;;;
010701;0000;79,8053;;;
010801;0000;71,332;;;
010901;0000;52,4819;;;
011001;0000;52,5632;;;
011101;0000;53,893;;;
011201;0000;60,9122;;;
020101;0000;57,62;;;
020201;0000;64,3497;;;
020301;0000;66,2077;;;
020401;0000;78,0271;;;
020501;0000;100,839;;;
020601;0000;97,068;;;
020701;0000;102,096;;;
020801;0000;76,6451;;;
020901;0000;68,2732;;;
021001;0000;54,1438;;;
021101;0000;50,5244;;;
021201;0000;49,3327;;;
030101;0000;56,085;;;
030201;0000;62,1012;;;
030301;0000;67,9604;;;
030401;0000;101,411;;;
030501;0000;141,231;;;
030601;0000;96,5639;;;
030701;0000;88,6647;;;
030801;0000;90,7862;;;
030901;0000;60,3019;;;
031001;0000;57,8105;;;
031101;0000;48,4166;;;
031201;0000;57,2526;;;
040101;0000;52,969;;;
040201;0000;60,2137;;;
040301;0000;71,5626;;;
040401;0000;60,6897;;;
040501;0000;103,069;;;
040601;0000;101,411;;;
040701;0000;87,4873;;;
040801;0000;64,3466;;;
040901;0000;67,3483;;;
041001;0000;44,6825;;;
041101;0000;46,962;;;
041201;0000;51,2865;;;
050101;0000;37,868;;;
050201;0000;44,7663;;;
050301;0000;59,6812;;;
050401;0000;94,4763;;;
050501;0000;72,7189;;;
050601;0000;77,0773;;;
050701;0000;94,5908;;;
050801;0000;63,345;;;
050901;0000;53,0764;;;
051001;0000;42,9005;;;
051101;0000;54,1771;;;
051201;0000;50,9139;;;
060101;0000;58,2527;;;
060201;0000;57,713;;;
060301;0000;75,2755;;;
060401;0000;99,4438;;;
060501;0000;123,02;;;
060601;0000;105,715;;;
060701;0000;86,2939;;;
060801;0000;69,8306;;;
060901;0000;70,484;;;
061001;0000;45,3925;;;
061101;0000;55,1216;;;
061201;0000;49,7801;;;
070101;0000;54,5099;;;
070201;0000;49,5289;;;
070301;0000;66,5723;;;
070401;0000;83,2747;;;
070501;0000;121,87;;;
070601;0000;100,858;;;
070701;0000;91,8264;;;
070801;0000;69,2472;;;
070901;0000;56,3116;;;
071001;0000;50,7861;;;
071101;0000;52,1651;;;
071201;0000;52,256;;;
080101;0000;55,2453;;;
080201;0000;51,7446;;;
080301;0000;58,0681;;;
080401;0000;82,8222;;;
080501;0000;92,6248;;;
080601;0000;105,256;;;
080701;0000;87,7789;;;
080801;0000;63,7107;;;
080901;0000;58,1825;;;
081001;0000;51,7811;;;
081101;0000;48,3431;;;
081201;0000;49,6517;;;
090101;0000;55,3711;;;
090201;0000;57,4579;;;
090301;0000;75,4949;;;
090401;0000;90,0763;;;
090501;0000;94,052;;;
090601;0000;100,963;;;
090701;0000;87,3417;;;
090801;0000;72,8076;;;
090901;0000;53,0273;;;
091001;0000;55,3881;;;
091101;0000;53,4741;;;
091201;0000;53,7862;;;
100101;0000;64,0155;;;
100201;0000;55,8341;;;
100301;0000;69,1857;;;
100401;0000;94,8723;;;
100501;0000;92,9745;;;
100601;0000;87,0489;;;
100701;0000;78,4856;;;
100801;0000;69,4944;;;
100901;0000;59,4092;;;
101001;0000;49,1348;;;
101101;0000;45,734;;;
101201;0000;47,5752;;;
110101;0000;56,9449;;;
110201;0000;54,3316;;;
110301;0000;69,8813;;;
110401;0000;73,2075;;;
110501;0000;112,395;;;
110601;0000;89,5337;;;
110701;0000;79,5133;;;
110801;0000;78,7283;;;
110901;0000;68,2019;;;
111001;0000;55,2855;;;
111101;0000;60,416;;;
111201;0000;66,2448;;;
120101;0000;59,5997;;;
120201;0000;68,2836;;;
120301;0000;75,8977;;;
120401;0000;80,2522;;;
120501;0000;103,989;;;
120601;0000;73,0768;;;
120701;0000;108,783;;;
120801;0000;86,6456;;;
120901;0000;58,4982;;;
121001;0000;43,4687;;;
121101;0000;51,0023;;;
121201;0000;43,7518;;;
130101;0000;51,1711;;;
130201;0000;52,3519;;;
130301;0000;74,6093;;;
130401;0000;126,445;;;
130501;0000;82,8481;;;
130601;0000;102,337;;;
130701;0000;92,2268;;;
130801;0000;89,1485;;;
130901;0000;65,0493;;;
131001;0000;59,4597;;;
131101;0000;60,0342;;;
131201;0000;58,8911;;;
140101;0000;67,3983;;;
140201;0000;54,5357;;;
140301;0000;82,9884;;;
140401;0000;94,1749;;;
140501;0000;83,012;;;
140601;0000;83,4456;;;
140701;0000;82,8026;;;
140801;0000;70,2314;;;
140901;0000;53,3043;;;
141001;0000;52,2179;;;
141101;0000;50,5366;;;
141201;0000;44,307;;;
150101;0000;57,5127;;;
150201;0000;59,8651;;;
150301;0000;97,1796;;;
150401;0000;92,5611;;;
150501;0000;107,601;;;
150601;0000;123,664;;;
150701;0000;99,799;;;
150801;0000;61,5471;;;
150901;0000;54,4511;;;
151001;0000;42,2377;;;
151101;0000;46,6749;;;
151201;0000;54,1699;;;
160101;0000;51,81;;;
160201;0000;59,379;;;
160301;0000;88,8405;;;
160401;0000;66,2915;;;
160501;0000;72,5118;;;
160601;0000;91,075;;;
160701;0000;78,5779;;;
160801;0000;72,2135;;;
160901;0000;75,4157;;;
161001;0000;42,3886;;;
161101;0000;52,4924;;;
161201;0000;51,0199;;;
170101;0000;80,4909;;;
170201;0000;52,2494;;;
170301;0000;72,0175;;;
170401;0000;67,3168;;;
170501;0000;67,6452;;;
170601;0000;82,0333;;;
170701;0000;89,8065;;;
170801;0000;65,0323;;;
170901;0000;55,7333;;;
171001;0000;43,129;;;
171101;0000;48;;;
171201;0000;49,8387;;;
180101;0000;54,4194;;;
180201;0000;55,2143;;;
180301;0000;75,6296;;;
180401;0000;82,4138;;;
180501;0000;98,6129;;;
180601;0000;86,8;;;
180701;0000;62,7667;;;
180801;0000;69,9677;;;
180901;0000;57,6333;;;
181001;0000;45,04;;;
181101;0000;43,6;;;
181201;0000;47,3226;;;
190101;0000;56,5484;;;
190201;0000;53,9286;;;
190301;0000;61,625;;;
190401;0000;86,2414;;;
190501;0000;91,6;;;
190601;0000;99,7;;;
190701;0000;110,839;;;
190801;0000;93,0968;;;
190901;0000;56,6897;;;
191001;0000;56,6774;;;
191101;0000;61,6;;;
191201;0000;57,0968;;;
200101;0000;63,0645;;;
200201;0000;66,6207;;;
200301;0000;70,9333;;;
200401;0000;81,2333;;;
200501;0000;86,4516;;;
200601;0000;71,2667;;;
200701;0000;93,1613;;;
200801;0000;57,8065;;;
200901;0000;55,4667;;;
201001;0000;55,3226;;;
201101;0000;49,7333;;;
201201;0000;51,9655;;;
210101;0000;50,3871;;;
210201;0000;46,0357;;;
210301;0000;52,2581;;;
210401;0000;62,4333;;;
210501;0000;86,2581;;;
210601;0000;79,3929;;;
210701;0000;104,323;;;
210801;0000;74,5484;;;
210901;0000;47,8667;;;
211001;0000;48,129;;;
211101;0000;49,3667;;;
211201;0000;51,6786;;;
220101;0000;47,5161;;;
220201;0000;54,8214;;;
220301;0000;69,3871;;;
220401;0000;69,2333;;;
220501;0000;107,839;;;
220601;0000;91,2667;;;
220701;0000;81,0645;;;
220801;0000;79,9355;;;
