FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
970501;0000;3,40062;;;
970601;0000;3,29368;;;
970701;0000;4,29775;;;
970801;0000;2,75216;;;
970901;0000;1,29316;;;
971001;0000;0,400802;;;
971101;0000;0,374666;;;
971201;0000;0,357588;;;
980101;0000;0,313709;;;
980201;0000;0,372748;;;
980301;0000;0,853332;;;
980401;0000;1,86652;;;
980501;0000;3,21989;;;
980601;0000;3,6292;;;
980701;0000;3,29086;;;
980801;0000;1,85544;;;
980901;0000;1,14;;;
981001;0000;0,424812;;;
981101;0000;0,292364;;;
981201;0000;0,317563;;;
990101;0000;0,267204;;;
990201;0000;0,344348;;;
990301;0000;0,65589;;;
990401;0000;1,49789;;;
990501;0000;2,43998;;;
990601;0000;2,97376;;;
990701;0000;2,87945;;;
990801;0000;1,98246;;;
990901;0000;1,102;;;
991001;0000;0,493242;;;
991101;0000;0,252916;;;
991201;0000;0,289784;;;
000101;0000;0,253897;;;
000201;0000;0,270679;;;
000301;0000;0,609127;;;
000401;0000;1,23666;;;
000501;0000;2,61492;;;
000601;0000;2,46217;;;
000701;0000;2,96618;;;
000801;0000;1,70242;;;
000901;0000;1,02111;;;
001001;0000;0,35782;;;
001101;0000;0,261296;;;
001201;0000;0,224059;;;
010101;0000;0,216532;;;
010201;0000;0,289969;;;
010301;0000;0,571805;;;
010401;0000;1,04898;;;
010501;0000;1,92403;;;
010601;0000;2,61256;;;
010701;0000;2,23771;;;
010801;0000;1,61364;;;
010901;0000;0,727221;;;
011001;0000;0,373521;;;
011101;0000;0,214224;;;
011201;0000;0,230914;;;
020101;0000;0,219086;;;
020201;0000;0,242559;;;
020301;0000;0,44637;;;
020401;0000;0,950594;;;
020501;0000;;;;
020601;0000;2,69083;;;
020701;0000;2,69268;;;
020801;0000;1,93938;;;
020901;0000;0,900504;;;
021001;0000;0,433467;;;
021101;0000;0,208527;;;
021201;0000;0,197639;;;
030101;0000;0,248764;;;
030201;0000;0,312053;;;
030301;0000;0,405694;;;
030401;0000;1,11597;;;
030501;0000;2,66198;;;
030601;0000;2,62385;;;
030701;0000;2,29694;;;
030801;0000;1,73965;;;
030901;0000;0,675869;;;
031001;0000;0,370494;;;
031101;0000;0,197694;;;
031201;0000;0,200472;;;
040101;0000;0,159472;;;
040201;0000;0,197611;;;
040301;0000;0,449031;;;
040401;0000;0,930426;;;
040501;0000;2,16934;;;
040601;0000;2,62209;;;
040701;0000;2,02122;;;
040801;0000;1,04242;;;
040901;0000;0,624305;;;
041001;0000;0,173242;;;
041101;0000;0,180061;;;
041201;0000;0,1625;;;
050101;0000;0,177777;;;
050201;0000;0,239506;;;
050301;0000;0,384406;;;
050401;0000;1,15154;;;
050501;0000;1,34435;;;
050601;0000;1,51778;;;
050701;0000;1,85833;;;
050801;0000;0,987221;;;
050901;0000;0,598749;;;
051001;0000;0,215492;;;
051101;0000;0,137037;;;
051201;0000;0,17375;;;
060101;0000;0,147446;;;
060201;0000;0,162395;;;
060301;0000;0,357123;;;
060401;0000;0,953898;;;
060501;0000;1,60139;;1,42867;
060601;0000;;;2,32811;
060701;0000;1,56146;;2,21683;
060801;0000;0,95101;;;
060901;0000;0,726487;;;
061001;0000;0,258333;;;
061101;0000;0,172845;;;
061201;0000;0,143275;;;
070101;0000;0,132616;;;
070201;0000;0,172389;;;
070301;0000;0,318951;;;
070401;0000;0,785971;;;
070501;0000;1,63387;;;
070601;0000;2,26541;;;
070701;0000;1,76236;;;
070801;0000;0,897396;;;
070901;0000;0,387727;;;
071001;0000;0,228764;;;
071101;0000;0,189294;;;
071201;0000;0,139925;;;
080101;0000;0,13625;;;
080201;0000;0,154802;;;
080301;0000;0,24633;;;
080401;0000;0,605138;;;
080501;0000;1,48266;;;
080601;0000;2,12208;;;
080701;0000;1,47997;;;
080801;0000;0,942948;;;
080901;0000;0,451253;;;
081001;0000;0,235536;;;
081101;0000;0,137685;;;
081201;0000;0,304569;;;
090101;0000;0,354972;;;
090201;0000;0,305995;;;
090301;0000;0,505029;;;
090401;0000;0,819443;;;
090501;0000;1,34785;;;
090601;0000;1,61868;;;
090701;0000;1,55873;;;
090801;0000;1,13212;;;
090901;0000;0,631943;;;
091001;0000;0,474824;;;
091101;0000;0,332183;;;
091201;0000;0,772713;;;
100101;0000;0,326458;;;
100201;0000;0,276333;;;
100301;0000;0,496432;;;
100401;0000;0,753242;;;
100501;0000;1,48889;;;
100601;0000;1,66681;;;
100701;0000;1,43387;;;
100801;0000;1,11425;;;
100901;0000;0,64111;;;
101001;0000;0,410483;;;
101101;0000;0,318495;;;
101201;0000;0,285618;;;
110101;0000;0,292695;;;
110201;0000;0,270833;;;
110301;0000;0,616122;;;
110401;0000;0,861238;;;
110501;0000;1,6754;;;
110601;0000;1,88087;;;
110701;0000;1,57156;;;
110801;0000;1,15931;;;
110901;0000;0,610816;;;
111001;0000;0,365053;;;
111101;0000;0,318526;;;
111201;0000;0,327032;;;
120101;0000;0,293521;;;
120201;0000;0,382246;;;
120301;0000;0,511824;;;
120401;0000;0,824135;;;
120501;0000;1,19618;;;
120601;0000;1,15236;;;
120701;0000;1,34713;;;
120801;0000;1,00776;;;
120901;0000;0,502955;;;
121001;0000;0,320192;;;
121101;0000;0,267116;;;
121201;0000;0,279607;;;
130101;0000;0,283884;;;
130201;0000;0,272037;;;
130301;0000;0,385585;;;
130401;0000;0,667723;;;
130501;0000;0,927784;;;
130601;0000;1,31077;;;
130701;0000;1,22465;;;
130801;0000;0,925115;;;
130901;0000;0,53041;;;
131001;0000;0,308426;;;
131101;0000;0,276462;;;
131201;0000;0,299682;;;
140101;0000;0,331479;;;
140201;0000;0,248098;;;
140301;0000;0,381592;;;
140401;0000;0,70734;;;
140501;0000;0,780877;;;
140601;0000;1,09277;;;
140701;0000;0,913099;;;
140801;0000;0,671383;;;
140901;0000;0,362125;;;
141001;0000;0,174203;;;
141101;0000;0,122081;;;
141201;0000;0,129743;;;
150101;0000;0,125589;;;
150201;0000;0,141517;;;
150301;0000;0,260085;;;
150401;0000;0,473765;;;
150501;0000;0,890836;;;
150601;0000;1,25129;;;
150701;0000;1,08254;;;
150801;0000;0,531784;;;
150901;0000;0,341408;;;
151001;0000;0,196658;;;
151101;0000;0,285414;;0,986248;
151201;0000;;;1,11106;
160101;0000;0,162445;;;
160201;0000;0,327626;;;
160301;0000;0,791626;;;
160401;0000;1,14375;;;
160501;0000;1,31687;;2,17557;
160601;0000;;;2,74746;
160701;0000;0,855523;;2,65993;
160801;0000;0,52365;;;
160901;0000;0,438266;;;
161001;0000;0,27554;;;
161101;0000;0,278121;;;
161201;0000;0,487613;;;
170101;0000;0,652355;;;
170201;0000;0,733069;;;
170301;0000;;;;
170401;0000;0,696897;;;
170501;0000;1,14129;;;
170601;0000;1,54567;;;
170701;0000;1,57226;;;
170801;0000;1,06129;;;
170901;0000;0,677333;;;
171001;0000;0,543871;;;
171101;0000;0,438333;;;
171201;0000;0,320645;;;
180101;0000;0,306452;;;
180201;0000;0,261923;;;
180301;0000;0,547;;;
180401;0000;0,698333;;;
180501;0000;0,95871;;;
180601;0000;1,548;;;
180701;0000;1,30903;;;
180801;0000;1,03548;;;
180901;0000;0,760667;;;
181001;0000;0,506129;;;
181101;0000;0,423448;;;
181201;0000;0,399355;;;
190101;0000;0,454483;;;
190201;0000;0,49875;;;
190301;0000;0,530714;;;
190401;0000;0,788667;;;
190501;0000;1,08774;;;
190601;0000;1,52567;;;
190701;0000;1,44484;;;
190801;0000;1,07097;;;
190901;0000;0,564667;;;
191001;0000;0,465806;;;
191101;0000;0,375;;;
191201;0000;0,385161;;;
200101;0000;0,413871;;;
200201;0000;0,437727;;;
200301;0000;0,423571;;;
200401;0000;0,544333;;;
200501;0000;0,608148;;;
200601;0000;0,910333;;;
200701;0000;0,671852;;;
200801;0000;0,438387;;;
200901;0000;0,240667;;;
201001;0000;0,259677;;;
201101;0000;0,625;;;
201201;0000;;;;
210101;0000;0,372083;;;
210201;0000;0,611071;;;
210301;0000;0,639032;;;
210401;0000;0,773333;;;
210501;0000;1,4071;;;
